agent,seed,pre_shift_mae,post_shift_mae,adaptation_time,area_under_post_shift_error,detection_delay,false_alarm_rate,stability_pre_shift,recovery_slope
last_interval,0,1.1608444917344476,1.1935099647762986,10.0,298.37749119407465,inf,0.0,0.938303666099377,0.5131024572919128
moving_average_w20,0,0.8774543770706607,1.0408705455165799,29.0,260.21763637914495,inf,0.0,0.6155826546230193,0.2453650678105063
exp_smoothing_a0.1,0,0.8656122173121846,1.0107043467426158,29.0,252.67608668565396,inf,0.0,0.6213828361970637,0.2421484960008192
random,0,7.204313811426077,4.894303781756318,0.0,1223.5759454390795,inf,0.0,22.834490203640108,0.0
injected,0,0.8205044158056674,7.014417550923352,inf,1753.604387730838,inf,0.0,0.3640120866286976,0.0
oracle,0,0.8205044158056674,0.7847107950883213,0.0,196.17769877208033,inf,0.0,0.3640120866286976,0.0
learned_full,0,1.2143632107716507,0.8909374123136895,19.0,222.73435307842237,1.0,0.0,1.894985432136884,0.33217322380393094
learned_no_update,0,8.96418307855432,16.01441755092335,inf,4003.604387730838,inf,0.0,1.035956731123451,0.0
learned_no_drift,0,1.2143632107716507,1.1467018886005338,34.0,286.67547215013343,inf,0.0,1.894985432136884,0.19256268181956088
learned_no_memory,0,1.1608444917344476,1.1935099647762986,10.0,298.37749119407465,inf,0.013333333333333334,0.938303666099377,0.5131024572919128
learned_frozen_post_shift,0,1.2017671992590089,7.071461188061749,inf,1767.8652970154371,inf,0.0,1.888705467368843,0.0
last_interval,1,1.1254999295752561,1.1180080236056684,5.0,279.5020059014171,inf,0.0,0.971531498951454,0.8704777943719448
moving_average_w20,1,0.7558004996259042,1.0213038261258007,30.0,255.3259565314502,inf,0.0,0.6060247046942445,0.17071288775444618
exp_smoothing_a0.1,1,0.7718164420912675,0.9811703749977502,28.0,245.29259374943754,inf,0.0,0.613908246800518,0.17989738811237463
random,1,6.395871511579792,5.1933315530168205,0.0,1298.332888254205,inf,0.0,21.415628575917296,0.0
injected,1,0.7159008781083203,7.06152121044664,inf,1765.38030261166,inf,0.0,0.3474375267484664,0.0
oracle,1,0.7159008781083203,0.7592876313022675,0.0,189.82190782556688,inf,0.0,0.3474375267484664,0.0
learned_full,1,1.1197485901074047,0.8607665383462827,15.0,215.19163458657067,1.0,0.0033333333333333335,1.9971734663066403,0.29866130998849627
learned_no_update,1,8.897229646239799,16.061521210446642,inf,4015.38030261166,inf,0.0,0.8493898484127334,0.0
learned_no_drift,1,1.1124746965011654,1.1084900600699508,33.0,277.1225150174877,inf,0.0,1.9956292934212903,0.14047229299946798
learned_no_memory,1,1.1254999295752561,1.1180080236056684,5.0,279.5020059014171,inf,0.016666666666666666,0.971531498951454,0.8704777943719448
learned_frozen_post_shift,1,1.1121363483819557,7.377971437682955,inf,1844.4928594207388,inf,0.0,1.9936653922915426,0.0
last_interval,2,1.210940093051075,1.1340029240120426,8.0,283.5007310030106,inf,0.0,0.9225706010135174,0.6700147376848876
moving_average_w20,2,0.8680823280399045,1.050230726697312,29.0,262.557681674328,inf,0.0,0.6106341642679577,0.2531249200625544
exp_smoothing_a0.1,2,0.8798055929414211,0.9957388778033727,29.0,248.93471945084318,inf,0.0,0.6163968223108879,0.25291903455245335
random,2,6.15703454633519,5.1750566786391845,0.0,1293.7641696597962,inf,0.0,21.643805309515866,0.0
injected,2,0.8267030519497148,6.9393299652039655,inf,1734.8324913009915,inf,0.0,0.3521395909767852,0.0
oracle,2,0.8267030519497148,0.7920273031219702,1.0,198.00682578049256,inf,0.0,0.3521395909767852,0.2447036402900462
learned_full,2,1.2268831230431825,0.8727241813113438,16.0,218.18104532783593,1.0,0.006666666666666667,1.9605591506133464,0.41025748416008245
learned_no_update,2,8.946493854244421,15.939329965203966,inf,3984.8324913009915,inf,0.0,1.032714619446141,0.0
learned_no_drift,2,1.2030737818881312,1.1240486818633217,32.0,281.0121704658304,inf,0.0,1.9479664932127003,0.2155593301953903
learned_no_memory,2,1.210940093051075,1.1340029240120426,8.0,283.5007310030106,inf,0.0033333333333333335,0.9225706010135174,0.6700147376848876
learned_frozen_post_shift,2,1.1951268927150207,6.975635949550106,inf,1743.9089873875264,inf,0.0,1.9326264979429224,0.0
last_interval,3,1.207397075739366,1.0987049259258805,10.0,274.67623148147015,inf,0.0,1.1279180240130136,0.5489265108561239
moving_average_w20,3,0.8461089917508309,1.0145801470648028,31.0,253.6450367662007,inf,0.0,0.7985099365438282,0.18618444082529975
exp_smoothing_a0.1,3,0.8869986221310027,0.9536643287083083,28.0,238.41608217707707,inf,0.0,0.7808490138219216,0.2031737141400914
random,3,6.556535439720024,5.6721288401512595,0.0,1418.0322100378148,inf,0.0,19.264683216993376,0.0
injected,3,0.7929326281201152,7.0888826566560805,inf,1772.22066416402,inf,0.0,0.39841727569633034,0.0
oracle,3,0.7929326281201152,0.7583072979908971,0.0,189.5768244977243,inf,0.0,0.39841727569633034,0.0
learned_full,3,1.1749585878437396,0.8262868725227851,16.0,206.57171813069627,1.0,0.006666666666666667,1.9871643520564268,0.3165632103827484
learned_no_update,3,9.049547383576476,16.08888265665608,inf,4022.2206641640196,inf,0.0,1.0247044852145286,0.0
learned_no_drift,3,1.1786087066335817,1.0631902380680014,34.0,265.79755951700037,inf,0.0,1.9498023300848968,0.15375056261581063
learned_no_memory,3,1.207397075739366,1.0987049259258805,10.0,274.67623148147015,inf,0.0,1.1279180240130136,0.5489265108561239
learned_frozen_post_shift,3,1.1983976298711414,7.344005346994603,inf,1836.0013367486508,inf,0.0,1.9642246273698893,0.0
last_interval,4,1.1788500970522928,1.157105399015541,3.0,289.27634975388526,inf,0.0,0.9910598204544562,0.7305788456106768
moving_average_w20,4,0.8526480520410314,1.009298645097051,29.0,252.32466127426275,inf,0.0,0.5882147174580896,0.16341132146963605
exp_smoothing_a0.1,4,0.8493865959035456,0.9729478385521486,27.0,243.23695963803715,inf,0.0,0.5932464988679572,0.17376510450055263
random,4,7.164191641191101,5.348308290780459,0.0,1337.0770726951146,inf,0.0,23.74125366223295,0.0
injected,4,0.7946588645402987,6.893106819848572,inf,1723.276704962143,inf,0.0,0.3932583756217593,0.0
oracle,4,0.7946588645402987,0.7860326444909574,0.0,196.50816112273935,inf,0.0,0.3932583756217593,0.0
learned_full,4,1.1495887910733948,0.860882109671022,17.0,215.2205274177555,1.0,0.0,2.0118264397303993,0.24699308719192656
learned_no_update,4,9.10199062698939,15.893106819848573,inf,3973.276704962143,inf,0.0,1.0143389986205469,0.0
learned_no_drift,4,1.1495887910733948,1.101402971152655,34.0,275.35074278816376,inf,0.0,2.0118264397303993,0.1286579433811788
learned_no_memory,4,1.1788500970522928,1.157105399015541,3.0,289.27634975388526,inf,0.01,0.9910598204544562,0.7305788456106768
learned_frozen_post_shift,4,1.1950478612056854,7.159240962638754,inf,1789.8102406596886,inf,0.0,2.006734253543545,0.0
last_interval,5,1.0955220518264452,1.0251574889840698,6.0,256.2893722460174,inf,0.0,0.8428298912975302,0.4794640480748979
moving_average_w20,5,0.8122117466304785,1.0311996799638328,30.0,257.7999199909582,inf,0.0,0.533130142168142,0.16423611610043704
exp_smoothing_a0.1,5,0.8112493215570263,0.9990372796347993,29.0,249.7593199086998,inf,0.0,0.5315305839431452,0.16477449558738222
random,5,6.432123202838564,5.494395179786928,0.0,1373.5987949467321,inf,0.0,21.236860603468127,0.0
injected,5,0.766036130820548,7.00920502428964,inf,1752.30125607241,inf,0.0,0.33485546794549575,0.0
oracle,5,0.766036130820548,0.8064443520368944,0.0,201.61108800922358,inf,0.0,0.33485546794549575,0.0
learned_full,5,1.1310271856547154,0.8906337215458566,16.0,222.65843038646415,1.0,0.0,1.8775719749024498,0.26088251017408637
learned_no_update,5,8.95982269591069,16.009205024289642,inf,4002.30125607241,inf,0.0,0.9200526059041266,0.0
learned_no_drift,5,1.1310271856547154,1.1126826876743425,35.0,278.17067191858564,inf,0.0,1.8775719749024498,0.12413865537511828
learned_no_memory,5,1.0955220518264452,1.0251574889840698,6.0,256.2893722460174,inf,0.0033333333333333335,0.8428298912975302,0.4794640480748979
learned_frozen_post_shift,5,1.1318687695006282,7.2520220440202,inf,1813.00551100505,inf,0.0,1.89949072352566,0.0
last_interval,6,1.1099447207193116,1.115037754288269,16.0,278.75943857206727,inf,0.0,0.9488187550233986,0.3725381747260473
moving_average_w20,6,0.8548908676418453,1.0842568475157495,31.0,271.0642118789374,inf,0.0,0.6570999995102327,0.1607903579565897
exp_smoothing_a0.1,6,0.8566698624332383,1.0364550500042586,29.0,259.1137625010647,inf,0.0,0.6490198672096735,0.17565652660929867
random,6,6.729428456562341,5.136116008577346,0.0,1284.0290021443366,inf,0.0,22.40250517744193,0.0
injected,6,0.8108954627404191,6.939152328921093,inf,1734.7880822302732,inf,0.0,0.34263247678264236,0.0
oracle,6,0.8108954627404191,0.8310550357609771,0.0,207.76375894024426,inf,0.0,0.34263247678264236,0.0
learned_full,6,1.2126987186661227,0.9366757714659856,15.0,234.1689428664964,1.0,0.0033333333333333335,2.11744063072756,0.2918201208132125
learned_no_update,6,9.028648413070808,15.939152328921095,inf,3984.7880822302736,inf,0.0,0.9993631967041654,0.0
learned_no_drift,6,1.1767795148438442,1.159709749381368,37.0,289.927437345342,inf,0.0,2.0965026068838246,0.12542773939585075
learned_no_memory,6,1.1099447207193116,1.115037754288269,16.0,278.75943857206727,3.0,0.006666666666666667,0.9488187550233986,0.3725381747260473
learned_frozen_post_shift,6,1.1969617108702646,7.171561469272534,inf,1792.8903673181335,inf,0.0,2.0773984817632294,0.0
last_interval,7,1.0762921520614812,1.0873215419043556,9.0,271.8303854760889,inf,0.0,0.8270887759982173,0.6902144317821816
moving_average_w20,7,0.7684569330929977,0.9818160546408313,30.0,245.45401366020783,inf,0.0,0.5773264624961396,0.23403877217952848
exp_smoothing_a0.1,7,0.7686041760828065,0.9488896048431409,30.0,237.22240121078522,inf,0.0,0.5694612623970243,0.23466994458173024
random,7,6.690854481258424,4.88793902415863,0.0,1221.9847560396574,inf,0.0,21.506283837211292,0.0
injected,7,0.7242029361213633,6.834651965576213,inf,1708.6629913940533,inf,0.0,0.34353706148839847,0.0
oracle,7,0.7242029361213633,0.7489956843734517,1.0,187.24892109336292,inf,0.0,0.34353706148839847,0.23903540243892518
learned_full,7,1.1114850173750166,0.8171940973372961,15.0,204.29852433432401,1.0,0.0033333333333333335,1.8390954875733656,0.42407492461210056
learned_no_update,7,8.868136056248971,15.834651965576214,inf,3958.6629913940533,inf,0.0,0.8506188545136276,0.0
learned_no_drift,7,1.0985905235628806,1.0641006167882798,34.0,266.02515419707,inf,0.0,1.8420639666043745,0.1952950615396033
learned_no_memory,7,1.0762921520614812,1.0873215419043556,9.0,271.8303854760889,inf,0.006666666666666667,0.8270887759982173,0.6902144317821816
learned_frozen_post_shift,7,1.0940711599147626,7.007795183297588,inf,1751.9487958243972,inf,0.0,1.8301189197620549,0.0
last_interval,8,1.2323135126485878,1.1337189007283446,9.0,283.42972518208614,inf,0.0,0.8254310060896545,0.4560017814123545
moving_average_w20,8,0.8855642535385632,0.9789521765805487,30.0,244.73804414513717,inf,0.0,0.5461125536719386,0.1616729477005903
exp_smoothing_a0.1,8,0.8968110131239795,0.9544209793156216,28.0,238.6052448289054,inf,0.0,0.5431980315186632,0.1729060794280857
random,8,6.393462625049858,4.89108046349929,0.0,1222.7701158748225,inf,0.0,21.071288288917426,0.0
injected,8,0.8319524808129531,7.071326744481171,inf,1767.8316861202927,inf,0.0,0.384128899342224,0.0
oracle,8,0.8319524808129531,0.7886740994901166,0.0,197.16852487252913,inf,0.0,0.384128899342224,0.0
learned_full,8,1.21114161928667,0.8529499654184022,12.0,213.23749135460054,1.0,0.006666666666666667,1.8835081262421811,0.34902803051768305
learned_no_update,8,9.00017354646862,16.07132674448117,inf,4017.8316861202925,inf,0.0,1.0762737995546745,0.0
learned_no_drift,8,1.1969840680633277,1.077039679761552,33.0,269.259919940388,inf,0.0,1.8756480162568714,0.13331803222909663
learned_no_memory,8,1.2323135126485878,1.1337189007283446,9.0,283.42972518208614,inf,0.006666666666666667,0.8254310060896545,0.4560017814123545
learned_frozen_post_shift,8,1.1828692459070753,7.218242904752833,inf,1804.5607261882083,inf,0.0,1.8936469386504442,0.0
last_interval,9,1.1952837145561428,1.2544878299175641,8.0,313.621957479391,inf,0.0,0.9615378304653684,0.6248431544642239
moving_average_w20,9,0.8675634984116082,1.1241727214239998,34.0,281.04318035599994,inf,0.0,0.5570755018256206,0.1827487005479799
exp_smoothing_a0.1,9,0.8619646451278004,1.0879372878667737,39.0,271.9843219666934,inf,0.0,0.5557354009553215,0.15760779776375877
random,9,6.698665735609384,5.4330856432720305,0.0,1358.2714108180076,inf,0.0,20.096570900127524,0.0
injected,9,0.806261484882447,6.998673615111948,inf,1749.6684037779871,inf,0.0,0.35874236704102147,0.0
oracle,9,0.806261484882447,0.8658094076770501,0.0,216.45235191926253,inf,0.0,0.35874236704102147,0.0
learned_full,9,1.1670138987978946,0.9546402506252051,19.0,238.66006265630128,1.0,0.0,1.996898523646008,0.29435996860678587
learned_no_update,9,9.013775446335949,15.998673615111947,inf,3999.668403777987,inf,0.0,1.008610186124115,0.0
learned_no_drift,9,1.1670138987978946,1.1990529733236197,39.0,299.7632433309049,inf,0.0,1.996898523646008,0.14891791243117555
learned_no_memory,9,1.1952837145561428,1.2544878299175641,8.0,313.621957479391,inf,0.006666666666666667,0.9615378304653684,0.6248431544642239
learned_frozen_post_shift,9,1.2445707391520784,7.445732933111142,inf,1861.4332332777853,inf,0.0,1.9632468519464725,0.0
last_interval,10,1.0671867178207648,1.2441782781588617,6.0,311.04456953971544,inf,0.0,0.7477916965782083,0.6412409294455318
moving_average_w20,10,0.7871951880346694,1.0689219734217164,31.0,267.2304933554291,inf,0.0,0.5148412671414565,0.16890138912033428
exp_smoothing_a0.1,10,0.7905679459581866,1.0373579959123933,31.0,259.33949897809833,inf,0.0,0.5111125068743013,0.17077276389201038
random,10,6.424523958987847,5.363156881326731,0.0,1340.7892203316826,inf,0.0,22.320637302375076,0.0
injected,10,0.7596173357684197,7.024324181708764,inf,1756.081045427191,inf,0.0,0.3488433914183274,0.0
oracle,10,0.7596173357684197,0.8131189002167516,0.0,203.2797250541879,inf,0.0,0.3488433914183274,0.0
learned_full,10,1.1367142833612498,0.9058193284182019,20.0,226.45483210455046,1.0,0.006666666666666667,1.8318372409544872,0.24900910863868764
learned_no_update,10,8.802030869105941,16.024324181708764,inf,4006.0810454271905,inf,0.0,0.8866701114312909,0.0
learned_no_drift,10,1.1226761072981544,1.1535373924306174,33.0,288.3843481076543,inf,0.0,1.8265728578277696,0.1464472591413673
learned_no_memory,10,1.0671867178207648,1.2441782781588617,6.0,311.04456953971544,150.0,0.013333333333333334,0.7477916965782083,0.6412409294455318
learned_frozen_post_shift,10,1.1443102833662635,7.505426313811493,inf,1876.3565784528732,inf,0.0,1.8295845955110115,0.0
last_interval,11,1.0709969698708948,1.1797627437387028,20.0,294.9406859346757,inf,0.0,0.7777445222685698,0.2827182135069034
moving_average_w20,11,0.7983320438768718,1.028218322103435,32.0,257.05458052585874,inf,0.0,0.5282980510937356,0.1828960341346839
exp_smoothing_a0.1,11,0.7943571454483404,1.0037220628785972,34.0,250.9305157196493,inf,0.0,0.5273535540886122,0.177079342616672
random,11,6.248845746775056,5.351292203870972,1.0,1337.8230509677428,inf,0.0,20.228190634832863,1.4447259576776608
injected,11,0.7444215287871011,7.035054957217306,inf,1758.7637393043265,inf,0.0,0.28393282636383416,0.0
oracle,11,0.7444215287871011,0.7856841009428811,0.0,196.42102523572026,inf,0.0,0.28393282636383416,0.0
learned_full,11,1.1245753007041952,0.888900875167035,20.0,222.22521879175875,1.0,0.0,1.9523992443293348,0.26561408986370766
learned_no_update,11,9.021590624385851,16.035054957217305,inf,4008.763739304326,inf,0.0,0.837630083824188,0.0
learned_no_drift,11,1.1245753007041952,1.1300117892618295,38.0,282.5029473154574,inf,0.0,1.9523992443293348,0.14328318078654456
learned_no_memory,11,1.0709969698708948,1.1797627437387028,20.0,294.9406859346757,0.0,0.0,0.7777445222685698,0.2827182135069034
learned_frozen_post_shift,11,1.1447824912497602,7.289693818755486,inf,1822.4234546888715,inf,0.0,1.9450666091144213,0.0
last_interval,12,1.064191835950385,1.1415632672963352,20.0,285.3908168240838,inf,0.0,0.8549209583424565,0.2531532964275354
moving_average_w20,12,0.8320792129532371,1.0355624785609,29.0,258.890619640225,inf,0.0,0.571112286000578,0.18419182057015177
exp_smoothing_a0.1,12,0.8277702173293833,1.011499206268018,31.0,252.87480156700448,inf,0.0,0.5734785885382326,0.17534985003936407
random,12,6.879188553559316,5.6458613712602235,0.0,1411.465342815056,inf,0.0,22.405665971216724,0.0
injected,12,0.7746089102496784,7.0309658972172855,inf,1757.7414743043214,inf,0.0,0.32991397782130866,0.0
oracle,12,0.7746089102496784,0.7997938035772534,0.0,199.94845089431334,inf,0.0,0.32991397782130866,0.0
learned_full,12,1.1913746041687951,0.8848921038807812,20.0,221.2230259701953,1.0,0.01,2.00897964270336,0.255037134826867
learned_no_update,12,9.040653894465322,16.030965897217285,inf,4007.7414743043214,inf,0.0,0.9282802025243055,0.0
learned_no_drift,12,1.1600576224770787,1.119534489356464,34.0,279.883622339116,inf,0.0,1.9976563033404484,0.1462655013490088
learned_no_memory,12,1.064191835950385,1.1415632672963352,20.0,285.3908168240838,14.0,0.0033333333333333335,0.8549209583424565,0.2531532964275354
learned_frozen_post_shift,12,1.1529658861800447,6.81704960930531,inf,1704.2624023263274,inf,0.0,2.01172120622893,0.0
last_interval,13,1.2177417507068518,1.1847254148595652,7.0,296.1813537148913,inf,0.0,1.1613838647089672,0.9091229460088921
moving_average_w20,13,0.9038256398898219,1.0683405432588882,31.0,267.08513581472204,inf,0.0,0.835115515335486,0.17995926968395784
exp_smoothing_a0.1,13,0.9003139260702164,1.0242085529632192,31.0,256.0521382408048,inf,0.0,0.8285515924533245,0.17956139657012649
random,13,6.499639391404024,5.590471734646283,0.0,1397.6179336615708,inf,0.0,20.70005494902741,0.0
injected,13,0.8344689004146278,7.034306150960625,inf,1758.5765377401563,inf,0.0,0.44293659929739637,0.0
oracle,13,0.8344689004146278,0.8045715739682184,0.0,201.1428934920546,inf,0.0,0.44293659929739637,0.0
learned_full,13,1.2335078395721464,0.9080713229619024,14.0,227.0178307404756,1.0,0.0033333333333333335,2.1585329988714816,0.3523739521967443
learned_no_update,13,9.024737838935891,16.034306150960624,inf,4008.5765377401563,inf,0.0,1.1386629843813765,0.0
learned_no_drift,13,1.2087377650432884,1.149257316925818,34.0,287.3143292314545,inf,0.0,2.1716415529508244,0.1529928158555018
learned_no_memory,13,1.2177417507068518,1.1847254148595652,7.0,296.1813537148913,inf,0.006666666666666667,1.1613838647089672,0.9091229460088921
learned_frozen_post_shift,13,1.1953574225883967,6.975154018182038,inf,1743.7885045455096,inf,0.0,2.171890336035387,0.0
last_interval,14,1.161300657100927,1.1387331566649606,7.0,284.6832891662401,inf,0.0,0.8595382600744017,0.5517132057664035
moving_average_w20,14,0.8275834931259258,1.000832405626002,29.0,250.20810140650053,inf,0.0,0.6162227994112933,0.19046607550765315
exp_smoothing_a0.1,14,0.8291478986030182,0.9639222052520512,28.0,240.9805513130128,inf,0.0,0.6190982294196311,0.19581986238377144
random,14,6.705779247524375,5.261254870752879,0.0,1315.3137176882196,inf,0.0,19.59745256587314,0.0
injected,14,0.7817729003330686,7.019359912697037,inf,1754.8399781742592,inf,0.0,0.32950152263053284,0.0
oracle,14,0.7817729003330686,0.7630909979246581,0.0,190.7727494811645,inf,0.0,0.32950152263053284,0.0
learned_full,14,1.1409868010439652,0.8752117953023537,18.0,218.80294882558843,1.0,0.0,1.950943707810093,0.2744332924059731
learned_no_update,14,9.080929303541955,16.019359912697034,inf,4004.8399781742587,inf,0.0,0.9341208381539252,0.0
learned_no_drift,14,1.1409868010439652,1.0760977313187232,33.0,269.0244328296808,inf,0.0,1.950943707810093,0.15516994384205976
learned_no_memory,14,1.161300657100927,1.1387331566649606,7.0,284.6832891662401,inf,0.0033333333333333335,0.8595382600744017,0.5517132057664035
learned_frozen_post_shift,14,1.1487664540337175,7.1685815438796325,inf,1792.1453859699081,inf,0.0,1.9661907375759635,0.0
last_interval,15,1.1030028492073245,1.0973403684756289,7.0,274.3350921189072,inf,0.0,0.7557454893323646,0.7973057804768104
moving_average_w20,15,0.8799645408771936,1.05207017368664,29.0,263.01754342166,inf,0.0,0.5239865937077541,0.20868256790115408
exp_smoothing_a0.1,15,0.8852384142187858,1.003321628761499,28.0,250.83040719037476,inf,0.0,0.5258063305194506,0.20745773089703562
random,15,6.712085094656632,5.241496155161616,0.0,1310.374038790404,inf,0.0,21.824629415949786,0.0
injected,15,0.8322099298242129,7.036977451273195,inf,1759.2443628182987,inf,0.0,0.33865233771719505,0.0
oracle,15,0.8322099298242129,0.7766143399445541,0.0,194.15358498613853,inf,0.0,0.33865233771719505,0.0
learned_full,15,1.2087905092158289,0.8646467732981328,14.0,216.1616933245332,1.0,0.0033333333333333335,1.9289967126575136,0.37050075923628073
learned_no_update,15,9.025097452264758,16.036977451273195,inf,4009.2443628182987,inf,0.0,1.0305958229050347,0.0
learned_no_drift,15,1.2058228619442874,1.1359609253731915,31.0,283.99023134329786,inf,0.0,1.9361449082448348,0.17634242701195857
learned_no_memory,15,1.1030028492073245,1.0973403684756289,7.0,274.3350921189072,inf,0.0033333333333333335,0.7557454893323646,0.7973057804768104
learned_frozen_post_shift,15,1.2073477033330247,7.19896876046648,inf,1799.74219011662,inf,0.0,1.9322977449006948,0.0
