run_id,seed,mode,agent,shift_delta,pre_shift_mae,post_shift_mae,post_shift_aue,adaptation_time,action_counts,stabilize_fraction_post_shift,replay_hash,pass_fail,failure_reason
causal_learned-interventional-d4.0-s0,0,interventional,causal_learned,4.0,1.2107742760005482,1.614399683735831,403.5999209339577,20.0,"{""observe"": 428, ""stabilize"": 172}",0.592,c5afc539dad412c7d625d47309eb33fe4369d9842b7d232f580a4370f7ecb76b,n/a,
no_action-interventional-d4.0-s0,0,interventional,no_action,4.0,1.2143632107716507,2.49999486761699,624.9987169042474,34.0,"{""observe"": 600}",0.0,79c7e4caaa28f92e0fd308bdc43cdd531076bd9c04cda967f7bf1b1c10fdc5ec,n/a,
random_action-interventional-d4.0-s0,0,interventional,random_action,4.0,1.4320350094204168,3.494033214265691,873.5083035664227,33.0,"{""destabilize"": 223, ""stabilize"": 189, ""observe"": 188}",0.308,2994d5590e77613563b7333b2ac7227257b85eeba19072af4e499b0f2519c1cd,n/a,
causal_learned-action_null-d4.0-s0,0,action_null,causal_learned,4.0,1.2143632107716507,2.49999486761699,624.9987169042474,34.0,"{""observe"": 453, ""stabilize"": 147}",0.38,79c7e4caaa28f92e0fd308bdc43cdd531076bd9c04cda967f7bf1b1c10fdc5ec,n/a,
no_action-action_null-d4.0-s0,0,action_null,no_action,4.0,1.2143632107716507,2.49999486761699,624.9987169042474,34.0,"{""observe"": 600}",0.0,79c7e4caaa28f92e0fd308bdc43cdd531076bd9c04cda967f7bf1b1c10fdc5ec,n/a,
random_action-action_null-d4.0-s0,0,action_null,random_action,4.0,1.2143632107716507,2.49999486761699,624.9987169042474,34.0,"{""destabilize"": 223, ""stabilize"": 189, ""observe"": 188}",0.308,79c7e4caaa28f92e0fd308bdc43cdd531076bd9c04cda967f7bf1b1c10fdc5ec,n/a,
causal_learned-interventional-d4.0-s1,1,interventional,causal_learned,4.0,1.0391572659555766,1.3645226263090235,341.1306565772559,24.0,"{""observe"": 346, ""stabilize"": 254}",0.688,7ea4fdb5e1091e448c374ca31d732f53956d384241135b8b5e4ec7d308faeb6b,n/a,
no_action-interventional-d4.0-s1,1,interventional,no_action,4.0,1.1197485901074047,2.4214084681962604,605.3521170490651,137.0,"{""observe"": 600}",0.0,349181a740a562e7124274f07bdd3d90232e6c92e1598cef70e34f8a259c46f2,n/a,
random_action-interventional-d4.0-s1,1,interventional,random_action,4.0,1.3213861095033645,2.518965692956088,629.7414232390221,0.0,"{""stabilize"": 196, ""destabilize"": 210, ""observe"": 194}",0.348,e43ed22035d2703a95257a5c51049e6aaad5122461b77ad0253cbeb65987f781,n/a,
causal_learned-action_null-d4.0-s1,1,action_null,causal_learned,4.0,1.1197485901074047,2.4214084681962604,605.3521170490651,137.0,"{""observe"": 479, ""stabilize"": 121}",0.192,349181a740a562e7124274f07bdd3d90232e6c92e1598cef70e34f8a259c46f2,n/a,
no_action-action_null-d4.0-s1,1,action_null,no_action,4.0,1.1197485901074047,2.4214084681962604,605.3521170490651,137.0,"{""observe"": 600}",0.0,349181a740a562e7124274f07bdd3d90232e6c92e1598cef70e34f8a259c46f2,n/a,
random_action-action_null-d4.0-s1,1,action_null,random_action,4.0,1.1197485901074047,2.4214084681962604,605.3521170490651,137.0,"{""stabilize"": 196, ""destabilize"": 210, ""observe"": 194}",0.348,349181a740a562e7124274f07bdd3d90232e6c92e1598cef70e34f8a259c46f2,n/a,
causal_learned-interventional-d4.0-s2,2,interventional,causal_learned,4.0,1.0331785456858291,1.3128395547043574,328.20988867608935,16.0,"{""observe"": 281, ""stabilize"": 319}",0.788,fcecad2385ee344fe34ea2d6e2ee5d858cfef5e52bac80085dbfada1bbc0720b,n/a,
no_action-interventional-d4.0-s2,2,interventional,no_action,4.0,1.2268831230431825,2.494822543073732,623.705635768433,89.0,"{""observe"": 600}",0.0,d0115057e1e410bb145101217e34041601b52e23adb4ed959117bf2f142833f4,n/a,
random_action-interventional-d4.0-s2,2,interventional,random_action,4.0,1.2968120858348553,3.053994293143089,763.4985732857722,30.0,"{""destabilize"": 193, ""observe"": 210, ""stabilize"": 197}",0.3,0113ac4f9224c4c1f85a688e937984e928020aeeefcee6560259939430d314c1,n/a,
causal_learned-action_null-d4.0-s2,2,action_null,causal_learned,4.0,1.2268831230431825,2.494822543073732,623.705635768433,89.0,"{""observe"": 380, ""stabilize"": 220}",0.492,d0115057e1e410bb145101217e34041601b52e23adb4ed959117bf2f142833f4,n/a,
no_action-action_null-d4.0-s2,2,action_null,no_action,4.0,1.2268831230431825,2.494822543073732,623.705635768433,89.0,"{""observe"": 600}",0.0,d0115057e1e410bb145101217e34041601b52e23adb4ed959117bf2f142833f4,n/a,
random_action-action_null-d4.0-s2,2,action_null,random_action,4.0,1.2268831230431825,2.494822543073732,623.705635768433,89.0,"{""destabilize"": 193, ""observe"": 210, ""stabilize"": 197}",0.3,d0115057e1e410bb145101217e34041601b52e23adb4ed959117bf2f142833f4,n/a,
causal_learned-interventional-d4.0-s3,3,interventional,causal_learned,4.0,1.003513018010093,1.8069875770106933,451.7468942526733,6.0,"{""observe"": 344, ""stabilize"": 256}",0.388,b5568b08a76e83d5457f71aaea78b23632b0d2c13066edc215c043c9e7773d78,n/a,
no_action-interventional-d4.0-s3,3,interventional,no_action,4.0,1.1749585878437396,2.447364953190474,611.8412382976185,2.0,"{""observe"": 600}",0.0,5fc531d723f9ec58f3e67c0d381cb2853984627c97761e94a48342be61941a95,n/a,
random_action-interventional-d4.0-s3,3,interventional,random_action,4.0,1.2148510234141359,2.212487583119811,553.1218957799528,81.0,"{""destabilize"": 188, ""observe"": 197, ""stabilize"": 215}",0.392,4c03a303f369d0caa946a31d55aeeef8feb5685a5e67f9f886f9bcfb9b8d4193,n/a,
causal_learned-action_null-d4.0-s3,3,action_null,causal_learned,4.0,1.1749585878437396,2.447364953190474,611.8412382976185,2.0,"{""observe"": 380, ""stabilize"": 220}",0.492,5fc531d723f9ec58f3e67c0d381cb2853984627c97761e94a48342be61941a95,n/a,
no_action-action_null-d4.0-s3,3,action_null,no_action,4.0,1.1749585878437396,2.447364953190474,611.8412382976185,2.0,"{""observe"": 600}",0.0,5fc531d723f9ec58f3e67c0d381cb2853984627c97761e94a48342be61941a95,n/a,
